FrameNo, Timestamp, Rigid_x, Rigid_y, Rigid_z, Rigid_yaw, Rigid_pitch, Rigid_roll,	Point0_x, Point0_y, Point0_z,	Point1_x, Point1_y, Point1_z,	Point2_x, Point2_y, Point2_z,	Point3_x, Point3_y, Point3_z,	Point4_x, Point4_y, Point4_z,	Point5_x, Point5_y, Point5_z
1,191.680303192,0.6139131784439087, 0.0877828598022461, 0.6513206958770752,2.407104730606079, 1.3342500925064087, -1.7533713579177856,0.6071767807006836, 0.1748921126127243, -0.6502349972724915,0.6767431497573853, 0.06769116222858429, -0.5189082622528076,0.708202600479126, 0.05238416790962219, -0.7529780268669128,0.5477950572967529, 0.06627971678972244, -0.7714447975158691,0.5201321840286255, 0.07273151725530624, -0.5406079888343811,0.6158872246742249, 0.1673392355442047, -0.6953641772270203
2,191.696159786,0.6141800284385681, 0.08822345733642578, 0.6509373188018799,2.542388439178467, 1.2819548845291138, -1.651939868927002,0.6071767807006836, 0.1748921126127243, -0.6502349972724915,0.6767380237579346, 0.06768445670604706, -0.518871545791626,0.7082158327102661, 0.052416834980249405, -0.7529396414756775,0.5478718280792236, 0.06607337296009064, -0.7718194127082825,0.5200255513191223, 0.07299501448869705, -0.5400720834732056,0.6158872246742249, 0.1673392355442047, -0.6953641772270203
3,191.712768525,0.614079475402832, 0.08816766738891602, 0.6508646011352539,2.548107624053955, 1.2587357759475708, -1.5172569751739502,0.6070489287376404, 0.17527838051319122, -0.6496372818946838,0.6767245531082153, 0.06775186210870743, -0.5187481641769409,0.708246111869812, 0.05239647626876831, -0.7529826760292053,0.5477960109710693, 0.06626810878515244, -0.7714282870292664,0.5200960040092468, 0.07274454832077026, -0.5405616760253906,0.6158872246742249, 0.1673392355442047, -0.6953641772270203
4,191.729368759,0.6140874624252319, 0.08823060989379883, 0.6508140563964844,2.5521652698516846, 1.2734683752059937, -1.5350345373153687,0.6071680188179016, 0.1748833805322647, -0.650217592716217,0.676707923412323, 0.06776755303144455, -0.5187890529632568,0.7082324624061584, 0.05236122012138367, -0.7530319094657898,0.5477598905563354, 0.066392682492733, -0.7712569236755371,0.5200994610786438, 0.07281316816806793, -0.5404497981071472,0.6158872246742249, 0.1673392355442047, -0.6953641772270203
5,191.746045528,0.6139792799949646, 0.08795309066772461, 0.6508808135986328,2.4388887882232666, 1.381102442741394, -1.5912703275680542,0.6071680188179016, 0.1748833805322647, -0.650217592716217,0.6767145991325378, 0.06774549186229706, -0.5187955498695374,0.7082321047782898, 0.052424412220716476, -0.7529551386833191,0.5479339957237244, 0.06606235355138779, -0.7719110250473022,0.5201088190078735, 0.07285062968730927, -0.5404099822044373,0.6158996224403381, 0.16788789629936218, -0.6947907209396362
6,191.762774785,0.6141115427017212, 0.08802080154418945, 0.6511273384094238,2.528977155685425, 1.2941348552703857, -1.5938650369644165,0.6071680188179016, 0.1748833805322647, -0.650217592716217,0.6767272353172302, 0.06770158559083939, -0.5188737511634827,0.7082896828651428, 0.05244813114404678, -0.7529360055923462,0.5478844046592712, 0.06611068546772003, -0.7717235088348389,0.5200729966163635, 0.0729442909359932, -0.5402469635009766,0.6159971356391907, 0.167280375957489, -0.6955788731575012
7,191.779397306,0.6140342354774475, 0.0880579948425293, 0.6510372161865234,2.514089822769165, 1.2528668642044067, -1.5640422105789185,0.6071680188179016, 0.1748833805322647, -0.650217592716217,0.6767184138298035, 0.0676601231098175, -0.5189105868339539,0.7082822918891907, 0.05248655006289482, -0.7528835535049438,0.5478363037109375, 0.06621124595403671, -0.7715615630149841,0.5200849771499634, 0.07283051311969757, -0.5404404401779175,0.6159971356391907, 0.167280375957489, -0.6955788731575012
8,191.79610633,0.6138746738433838, 0.0876772403717041, 0.6513838768005371,2.388516902923584, 1.380916714668274, -1.8345234394073486,0.6071680188179016, 0.1748833805322647, -0.650217592716217,0.676709771156311, 0.06767069548368454, -0.5188807249069214,0.7082818746566772, 0.052519530057907104, -0.7528157234191895,0.5477996468544006, 0.0662408098578453, -0.7714723944664001,0.5200543999671936, 0.07285767048597336, -0.5403650999069214,0.6159971356391907, 0.167280375957489, -0.6955788731575012
9,191.812801865,0.6138603091239929, 0.08763265609741211, 0.6514847278594971,2.3711822032928467, 1.349018931388855, -1.8100076913833618,0.6071680188179016, 0.1748833805322647, -0.650217592716217,0.676785409450531, 0.06767560541629791, -0.5188472867012024,0.7083091735839844, 0.052553027868270874, -0.7527711391448975,0.5478582382202148, 0.06617744266986847, -0.7715839743614197,0.5200933814048767, 0.07284276932477951, -0.5403584241867065,0.6159971356391907, 0.167280375957489, -0.6955788731575012
10,191.829453123,0.6138037443161011, 0.0876016616821289, 0.6515233516693115,2.3232364654541016, 1.4159228801727295, -1.9216288328170776,0.6071680188179016, 0.1748833805322647, -0.650217592716217,0.6767568588256836, 0.06770835816860199, -0.5188556909561157,0.708223283290863, 0.0523868165910244, -0.7530148029327393,0.5478107333183289, 0.06630823016166687, -0.7714376449584961,0.5200225114822388, 0.07309780269861221, -0.5399308204650879,0.6159971356391907, 0.167280375957489, -0.6955788731575012
